Day,BTC,ETH,XRP,BCH,LTC,NEO
"May 21, 2017",2067.03,127.54,0.353164,,27.48
"May 20, 2017",1984.24,129.22,0.328631,,27.68
"May 19, 2017",1897.37,97.05,0.363505,,28.29
"May 18, 2017",1818.70,89.84,0.394931,,25.17
"May 17, 2017",1726.73,89.25,0.355124,,23.24
"May 16, 2017",1741.70,92.39,0.269824,,25.34
"May 15, 2017",1808.44,90.78,0.220069,,28.89
"May 14, 2017",1800.86,90.87,0.215179,,29.09
"May 13, 2017",1723.12,88.69,0.206697,,27.22
"May 12, 2017",1845.76,89.43,0.18276,,30.93
"May 11, 2017",1780.37,89.77,0.185035,,32.66
"May 10, 2017",1756.52,91.15,0.158471,,33.3
"May 09, 2017",1723.89,91.23,0.199198,,28.96
"May 08, 2017",1596.92,93.75,0.14162,,30.37
"May 07, 2017",1579.47,97.87,0.101929,,28.2
"May 06, 2017",1556.81,94.91,0.093429,,26.47
"May 05, 2017",1540.87,96.73,0.080229,,23.47
"May 04, 2017",1490.72,79.72,0.061062,,21.04
"May 03, 2017",1453.78,77.25,0.053905,,15.88
"May 02, 2017",1421.03,76.65,0.054646,,15.92
"May 01, 2017",1348.30,79.32,0.05158,,15.71
"Apr 30, 2017",1321.87,68.54,0.052807,,15.7
"Apr 29, 2017",1317.84,71.39,0.044558,,14.4
"Apr 28, 2017",1317.74,62.23,0.034843,,14.59
"Apr 27, 2017",1281.88,52.81,0.032827,,14.84
"Apr 26, 2017",1265.99,49.91,0.03239,,15.21
"Apr 25, 2017",1250.45,50.07,0.031409,,14.98
"Apr 24, 2017",1209.63,48.87,0.031236,,13.96
"Apr 23, 2017",1231.92,48.59,0.031878,,13.07
"Apr 22, 2017",1222.71,48.18,0.033122,,11.18
"Apr 21, 2017",1229.42,49.64,0.029727,,10.29
"Apr 20, 2017",1211.08,48.13,0.030259,,9.63
"Apr 19, 2017",1212.13,50.73,0.033181,,10.31
"Apr 18, 2017",1193.77,48.32,0.033638,,10.42
"Apr 17, 2017",1183.25,48.66,0.0334,,10.6
"Apr 16, 2017",1172.61,49.04,0.03388,,10.75
"Apr 15, 2017",1167.30,47.65,0.033528,,10.34
"Apr 14, 2017",1170.33,49.97,0.034262,,10.13
"Apr 13, 2017",1201.02,46.31,0.034459,,10.76
"Apr 12, 2017",1204.81,43.46,0.033002,,8.83
"Apr 11, 2017",1187.46,43.5,0.033677,,8.91
"Apr 10, 2017",1187.30,43.28,0.034123,,8.72
"Apr 09, 2017",1176.57,44.28,0.035799,,9.89
"Apr 08, 2017",1172.65,41.8,0.036355,,9.34
"Apr 07, 2017",1178.94,42.87,0.03274,,10.22
"Apr 06, 2017",1125.81,45.22,0.035672,,11.12
"Apr 05, 2017",1134.14,44.66,0.037386,,8.25
"Apr 04, 2017",1145.52,43.92,0.033032,,8.12
"Apr 03, 2017",1102.95,48.82,0.060291,,7.74
"Apr 02, 2017",1080.61,50.74,0.021938,,6.86
"Apr 01, 2017",1071.71,50.03,0.021743,,6.65
"Mar 31, 2017",1026.64,51.75,0.013049,,7.02
"Mar 30, 2017",1042.21,53.12,0.010125,,4.18
"Mar 29, 2017",1046.08,50.57,0.009526,,4.14
"Mar 28, 2017",1044.58,49.71,0.009568,,4.07
"Mar 27, 2017",972.05,51.31,0.009482,,4.07
"Mar 26, 2017",974.01,50.77,0.009159,,4.07
"Mar 25, 2017",936.54,53.58,0.010502,,4.07
"Mar 24, 2017",1038.45,43.64,0.010528,,3.97
"Mar 23, 2017",1050.05,42.57,0.007284,,3.93
"Mar 22, 2017",1120.65,43.12,0.006908,,3.99
"Mar 21, 2017",1055.36,43.51,0.006996,,4.04
"Mar 20, 2017",1037.24,44.83,0.006915,,3.95
"Mar 19, 2017",976.73,35.53,0.006736,,3.96
"Mar 18, 2017",1099.69,46.87,0.006137,,4.04
"Mar 17, 2017",1180.16,45.93,0.006406,,4.23
"Mar 16, 2017",1251.33,35.36,0.006319,,4.15
"Mar 15, 2017",1240.16,28.65,0.00637,,4.05
"Mar 14, 2017",1232.16,28.57,0.006346,,4.17
"Mar 13, 2017",1221.78,23.5,0.006271,,3.85
"Mar 12, 2017",1176.62,21.46,0.006214,,3.79
"Mar 11, 2017",1116.32,19.37,0.006229,,3.76
"Mar 10, 2017",1189.36,17.74,0.006503,,3.83
"Mar 09, 2017",1150.35,16.64,0.006485,,3.77
"Mar 08, 2017",1223.23,18.88,0.006551,,3.81
"Mar 07, 2017",1273.21,19.58,0.006057,,3.89
"Mar 06, 2017",1267.47,19.28,0.006129,,3.87
"Mar 05, 2017",1254.29,18.5,0.00629,,3.86
"Mar 04, 2017",1277.43,19.52,0.006354,,3.91
"Mar 03, 2017",1250.71,19.04,0.005988,,3.92
"Mar 02, 2017",1224.68,17.36,0.005419,,3.8
"Mar 01, 2017",1180.04,15.85,0.005525,,3.77
"Feb 28, 2017",1180.72,15.45,0.005608,,3.8
"Feb 27, 2017",1163.78,14.51,0.005665,,3.81
"Feb 26, 2017",1144.27,13.52,0.005664,,3.82
"Feb 25, 2017",1170.41,13.06,0.0057,,3.85
"Feb 24, 2017",1172.71,13.13,0.005883,,3.83
"Feb 23, 2017",1117.27,12.6,0.005856,,3.8
"Feb 22, 2017",1114.80,12.69,0.005849,,3.79
"Feb 21, 2017",1079.28,12.34,0.005871,,3.76
"Feb 20, 2017",1048.69,12.77,0.005879,,3.77
"Feb 19, 2017",1054.76,12.82,0.005589,,3.79
"Feb 18, 2017",1049.21,12.71,0.005949,,3.83
"Feb 17, 2017",1026.12,12.9,0.005939,,3.78
"Feb 16, 2017",1007.65,12.92,0.006138,,3.8
"Feb 15, 2017",1006.21,13.04,0.006279,,3.77
"Feb 14, 2017",991.74,11.29,0.00624,,3.72
"Feb 13, 2017",998.88,11.38,0.006267,,3.77
"Feb 12, 2017",1003.52,11.35,0.006328,,3.8
"Feb 11, 2017",988.90,11.29,0.00629,,3.78
"Feb 10, 2017",995.63,11.04,0.006367,,3.8
"Feb 09, 2017",1064.70,11.44,0.006433,,4.03
"Feb 08, 2017",1062.32,11.54,0.006407,,4.05
"Feb 07, 2017",1040.14,11.43,0.006437,,4.05
"Feb 06, 2017",1028.40,11.35,0.006439,,4.06
"Feb 05, 2017",1043.52,11.44,0.006494,,4.07
"Feb 04, 2017",1031.33,11.13,0.006487,,4.08
"Feb 03, 2017",1011.46,10.81,0.006466,,4.08
"Feb 02, 2017",990.00,10.74,0.00654,,4.08
"Feb 01, 2017",970.94,10.74,0.006311,,4.08
"Jan 31, 2017",920.96,10.56,0.00639,,4.02
"Jan 30, 2017",920.15,10.49,0.006402,,3.86
"Jan 29, 2017",922.07,10.56,0.006356,,3.85
"Jan 28, 2017",919.81,10.54,0.006409,,3.85
"Jan 27, 2017",918.36,10.58,0.006685,,3.84
"Jan 26, 2017",902.39,10.57,0.006511,,3.71
"Jan 25, 2017",891.92,10.62,0.006527,,3.79
"Jan 24, 2017",910.68,10.73,0.006708,,3.84
"Jan 23, 2017",925.50,10.71,0.006718,,3.86
"Jan 22, 2017",922.21,10.91,0.006706,,3.9
"Jan 21, 2017",895.55,10.6,0.006694,,3.89
"Jan 20, 2017",898.17,10.39,0.007032,,3.86
"Jan 19, 2017",888.34,10.24,0.006713,,3.84
"Jan 18, 2017",909.37,10.3,0.00679,,3.94
"Jan 17, 2017",830.95,9.64,0.006772,,3.91
"Jan 16, 2017",821.78,9.88,0.006747,,3.92
